finding,data_source,observation,wcag,impact,inclusion,effort,priority
Comment appears as required,T1_evidence.png,"topline comment appears on submit",4.1.3,1,1,1,1
No method implemented to swap colour schemes,P1 notes + T2_missing-btn.png,"no way of changing theme in the webpage",1.4.3,4,3,2,5
Controlling page with tabs/enter easy,T3_evidence.png,"easy to navigate around page",2.1.2,1,1,1,1
Mouse hover does not change functionality/perform an operation,T4_evidence.png,"no change to site on hover",3.2.2,1,1,1,1
Dark mode contrast is sufficient,T5_evidence.png,"everything is easily readable",1.4.3,1,1,1,1
SR speaks but no subtitles provided,T6_no-subs.png,"no subtitles seen",3.3.1,4,5,3,6
Doesn't update the task counter once tasks are added,T7_no-update.png,"not adding to total number of tasks without reloading page",N/A,2,1,1,2
Difficult to navigate on tabs with js off,P2 notes,"keeps navigating tothe top of the page ruining fluidity in adding lots of tasks simultaneously",2.1.1,3,4,3,4
No way of adding details to each task,P1 notes,"it would be nice to be able to add more detail to a task, without a character limit",N/A,1,1,1,1
